sample_ID;BLUD_or_SPBL;WELL;Volume;Dilution;BACTERIA;NA
A1;BLUD_007_7+35d_prett_t1-t3_df5_025;A1;5.0;5.0;13;0
A2;BLUD_007_7+35d_prett_t1-t3_df5_025;A2;5.0;5.0;17;0
A3;BLUD_007_7+35d_prett_t1-t3_df5_025;A3;5.0;5.0;20;0
A4;BLUD_007_7+35d_prett_t1-t3_df5_025;A4;5.0;5.0;25;0
A5;BLUD_007_7+35d_prett_t1-t3_df5_025;A5;5.0;5.0;20;0
A6;BLUD_007_7+35d_prett_t1-t3_df5_025;A6;5.0;5.0;28;0
A7;BLUD_007_7+35d_prett_t1-t3_df5_025;A7;5.0;5.0;19;0
A8;BLUD_007_7+35d_prett_t1-t3_df5_025;A8;5.0;5.0;24;0
A9;BLUD_007_7+35d_prett_t1-t3_df5_025;A9;5.0;5.0;26;0
A10;BLUD_007_7+35d_prett_t1-t3_df5_025;A10;5.0;5.0;20;0
A11;BLUD_007_7+35d_prett_t1-t3_df5_025;A11;5.0;5.0;29;0
A12;BLUD_007_7+35d_prett_t1-t3_df5_025;A12;5.0;5.0;13;0
B1;BLUD_007_7+35d_prett_t1-t3_df5_025;B1;5.0;5.0;14;0
B2;BLUD_007_7+35d_prett_t1-t3_df5_025;B2;5.0;5.0;18;0
B3;BLUD_007_7+35d_prett_t1-t3_df5_025;B3;5.0;5.0;31;0
B4;BLUD_007_7+35d_prett_t1-t3_df5_025;B4;5.0;5.0;28;0
B5;BLUD_007_7+35d_prett_t1-t3_df5_025;B5;5.0;5.0;17;0
B6;BLUD_007_7+35d_prett_t1-t3_df5_025;B6;5.0;5.0;24;0
B7;BLUD_007_7+35d_prett_t1-t3_df5_025;B7;5.0;5.0;20;0
B8;BLUD_007_7+35d_prett_t1-t3_df5_025;B8;5.0;5.0;20;0
B9;BLUD_007_7+35d_prett_t1-t3_df5_025;B9;5.0;5.0;24;0
B10;BLUD_007_7+35d_prett_t1-t3_df5_025;B10;5.0;5.0;12;0
B11;BLUD_007_7+35d_prett_t1-t3_df5_025;B11;5.0;5.0;30;0
B12;BLUD_007_7+35d_prett_t1-t3_df5_025;B12;5.0;5.0;24;0
